Distance,Diameter,Radius,,Text File Input
12.0638,1.70464,0.85232,,12.0638 0.85232 0
12.0805,1.70862,0.85431,,12.0805 0.85431 0
12.0807,1.70866,0.85433,,12.0807 0.85433 0
12.0856,1.70991,0.854955,,12.0856 0.854955 0
12.0924,1.71156,0.85578,,12.0924 0.85578 0
12.0924,1.71157,0.855785,,12.0924 0.855785 0
12.0974,1.71226,0.85613,,12.0974 0.85613 0
12.0986,1.71246,0.85623,,12.0986 0.85623 0
12.1317,1.71772,0.85886,,12.1317 0.85886 0
12.1428,1.71954,0.85977,,12.1428 0.85977 0
12.1433,1.71959,0.859795,,12.1433 0.859795 0
12.1566,1.72115,0.860575,,12.1566 0.860575 0
12.1566,1.72116,0.86058,,12.1566 0.86058 0
12.1797,1.72465,0.862325,,12.1797 0.862325 0
12.1799,1.72467,0.862335,,12.1799 0.862335 0
12.2104,1.73087,0.865435,,12.2104 0.865435 0
12.2147,1.73182,0.86591,,12.2147 0.86591 0
12.2149,1.73186,0.86593,,12.2149 0.86593 0
12.2394,1.73665,0.868325,,12.2394 0.868325 0
12.2395,1.73667,0.868335,,12.2395 0.868335 0
12.2445,1.73775,0.868875,,12.2445 0.868875 0
12.2445,1.73775,0.868875,,12.2445 0.868875 0
12.2514,1.73895,0.869475,,12.2514 0.869475 0
12.2702,1.74122,0.87061,,12.2702 0.87061 0
12.2758,1.74177,0.870885,,12.2758 0.870885 0
12.2887,1.74303,0.871515,,12.2887 0.871515 0
12.3014,1.74416,0.87208,,12.3014 0.87208 0
12.3074,1.74462,0.87231,,12.3074 0.87231 0
12.3514,1.74825,0.874125,,12.3514 0.874125 0
12.3677,1.74997,0.874985,,12.3677 0.874985 0
12.3778,1.75102,0.87551,,12.3778 0.87551 0
12.3803,1.75119,0.875595,,12.3803 0.875595 0
12.4165,1.75299,0.876495,,12.4165 0.876495 0
12.4165,1.75299,0.876495,,12.4165 0.876495 0
12.4169,1.753,0.8765,,12.4169 0.8765 0
12.4764,1.75315,0.876575,,12.4764 0.876575 0
12.4899,1.75286,0.87643,,12.4899 0.87643 0
12.4963,1.75262,0.87631,,12.4963 0.87631 0
12.5101,1.75124,0.87562,,12.5101 0.87562 0
12.5661,1.74789,0.873945,,12.5661 0.873945 0
12.6207,1.74501,0.872505,,12.6207 0.872505 0
12.6447,1.74249,0.871245,,12.6447 0.871245 0
12.6624,1.74022,0.87011,,12.6624 0.87011 0
12.6853,1.73708,0.86854,,12.6853 0.86854 0
12.6853,1.73707,0.868535,,12.6853 0.868535 0
12.6866,1.73688,0.86844,,12.6866 0.86844 0
12.7439,1.72475,0.862375,,12.7439 0.862375 0
12.7777,1.71793,0.858965,,12.7777 0.858965 0
12.7796,1.7175,0.85875,,12.7796 0.85875 0
12.7844,1.71632,0.85816,,12.7844 0.85816 0
12.8334,1.70517,0.852585,,12.8334 0.852585 0
12.842,1.70334,0.85167,,12.842 0.85167 0
12.888,1.69327,0.846635,,12.888 0.846635 0
12.9267,1.68505,0.842525,,12.9267 0.842525 0
12.9535,1.67868,0.83934,,12.9535 0.83934 0
12.9815,1.67281,0.836405,,12.9815 0.836405 0
13.0257,1.66267,0.831335,,13.0257 0.831335 0
13.0576,1.6537,0.82685,,13.0576 0.82685 0
13.0749,1.64867,0.824335,,13.0749 0.824335 0
13.1143,1.63842,0.81921,,13.1143 0.81921 0
13.1192,1.6373,0.81865,,13.1192 0.81865 0
13.1462,1.63129,0.815645,,13.1462 0.815645 0
13.1763,1.6255,0.81275,,13.1763 0.81275 0
13.1964,1.62175,0.810875,,13.1964 0.810875 0
13.2395,1.61375,0.806875,,13.2395 0.806875 0
13.2571,1.61024,0.80512,,13.2571 0.80512 0
13.2848,1.6043,0.80215,,13.2848 0.80215 0
13.3157,1.59783,0.798915,,13.3157 0.798915 0
13.3426,1.5927,0.79635,,13.3426 0.79635 0
13.4111,1.58277,0.791385,,13.4111 0.791385 0
13.4308,1.57994,0.78997,,13.4308 0.78997 0
13.4741,1.572,0.786,,13.4741 0.786 0
13.476,1.57168,0.78584,,13.476 0.78584 0
13.4915,1.56922,0.78461,,13.4915 0.78461 0
13.5186,1.56376,0.78188,,13.5186 0.78188 0
13.579,1.55554,0.77777,,13.579 0.77777 0
13.6056,1.55263,0.776315,,13.6056 0.776315 0
13.6277,1.5516,0.7758,,13.6277 0.7758 0
13.6628,1.54996,0.77498,,13.6628 0.77498 0
13.6838,1.54977,0.774885,,13.6838 0.774885 0
13.695,1.54957,0.774785,,13.695 0.774785 0
