Distance,Diameter,Radius,,text,,,FFR
7.0421,1.22271,0.611355,,7.0421 0.611355 0,,,
7.04482,1.22264,0.61132,,7.04482 0.61132 0,,,
7.08672,1.22249,0.611245,,7.08672 0.611245 0,,,
7.11301,1.22173,0.610865,,7.11301 0.610865 0,,,
7.13042,1.2213,0.61065,,7.13042 0.61065 0,,,
7.1826,1.21806,0.60903,,7.1826 0.60903 0,,,
7.21368,1.21419,0.607095,,7.21368 0.607095 0,,,
7.21918,1.21321,0.606605,,7.21918 0.606605 0,,,
7.26244,1.20592,0.60296,,7.26244 0.60296 0,,,
7.26356,1.20574,0.60287,,7.26356 0.60287 0,,,
7.3606,1.20313,0.601565,,7.3606 0.601565 0,,,
7.40658,1.20694,0.60347,,7.40658 0.60347 0,,,
7.42146,1.20857,0.604285,,7.42146 0.604285 0,,,
7.42461,1.20877,0.604385,,7.42461 0.604385 0,,,
7.42725,1.20891,0.604455,,7.42725 0.604455 0,,,
7.42795,1.20894,0.60447,,7.42795 0.60447 0,,,
7.47087,1.20966,0.60483,,7.47087 0.60483 0,,,
7.47243,1.20968,0.60484,,7.47243 0.60484 0,,,
7.51429,1.21034,0.60517,,7.51429 0.60517 0,,,
7.56047,1.21576,0.60788,,7.56047 0.60788 0,,,
7.57156,1.21735,0.608675,,7.57156 0.608675 0,,,
7.60343,1.22172,0.61086,,7.60343 0.61086 0,,,
7.61317,1.22312,0.61156,,7.61317 0.61156 0,,,
7.63572,1.2259,0.61295,,7.63572 0.61295 0,,,
7.65501,1.22833,0.614165,,7.65501 0.614165 0,,,
7.66619,1.22974,0.61487,,7.66619 0.61487 0,,,
7.67213,1.23039,0.615195,,7.67213 0.615195 0,,,
7.71178,1.23656,0.61828,,7.71178 0.61828 0,,,
7.73401,1.24038,0.62019,,7.73401 0.62019 0,,,
7.75139,1.24335,0.621675,,7.75139 0.621675 0,,,
7.76801,1.24593,0.622965,,7.76801 0.622965 0,,,
7.7811,1.24807,0.624035,,7.7811 0.624035 0,,,
7.81325,1.25413,0.627065,,7.81325 0.627065 0,,,
7.82207,1.25562,0.62781,,7.82207 0.62781 0,,,
7.83803,1.25872,0.62936,,7.83803 0.62936 0,,,
7.83983,1.25909,0.629545,,7.83983 0.629545 0,,,
7.87321,1.26537,0.632685,,7.87321 0.632685 0,,,
7.89122,1.26941,0.634705,,7.89122 0.634705 0,,,
7.90136,1.27179,0.635895,,7.90136 0.635895 0,,,
7.93136,1.27882,0.63941,,7.93136 0.63941 0,,,
7.95858,1.28424,0.64212,,7.95858 0.64212 0,,,
7.99414,1.29026,0.64513,,7.99414 0.64513 0,,,
8.03193,1.30145,0.650725,,8.03193 0.650725 0,,,
8.03543,1.30249,0.651245,,8.03543 0.651245 0,,,
8.04222,1.30439,0.652195,,8.04222 0.652195 0,,,
8.06032,1.30868,0.65434,,8.06032 0.65434 0,,,
8.09102,1.31777,0.658885,,8.09102 0.658885 0,,,
8.09253,1.31821,0.659105,,8.09253 0.659105 0,,,
8.11607,1.32327,0.661635,,8.11607 0.661635 0,,,
8.12903,1.32624,0.66312,,8.12903 0.66312 0,,,
8.14037,1.3289,0.66445,,8.14037 0.66445 0,,,
8.19036,1.34385,0.671925,,8.19036 0.671925 0,,,
8.19512,1.34537,0.672685,,8.19512 0.672685 0,,,
8.19863,1.34665,0.673325,,8.19863 0.673325 0,,,
8.22912,1.3564,0.6782,,8.22912 0.6782 0,,,
8.23616,1.35895,0.679475,,8.23616 0.679475 0,,,
8.24806,1.36255,0.681275,,8.24806 0.681275 0,,,
8.26332,1.36686,0.68343,,8.26332 0.68343 0,,,
8.29897,1.37563,0.687815,,8.29897 0.687815 0,,,
8.29921,1.3757,0.68785,,8.29921 0.68785 0,,,
8.30759,1.37802,0.68901,,8.30759 0.68901 0,,,
8.33622,1.38651,0.693255,,8.33622 0.693255 0,,,
8.33623,1.38652,0.69326,,8.33623 0.69326 0,,,
8.33883,1.38739,0.693695,,8.33883 0.693695 0,,,
8.35531,1.39271,0.696355,,8.35531 0.696355 0,,,
8.37476,1.39949,0.699745,,8.37476 0.699745 0,,,
8.38139,1.40135,0.700675,,8.38139 0.700675 0,,,
8.39464,1.40497,0.702485,,8.39464 0.702485 0,,,
8.41196,1.40966,0.70483,,8.41196 0.70483 0,,,
8.42748,1.41372,0.70686,,8.42748 0.70686 0,,,
8.42797,1.41386,0.70693,,8.42797 0.70693 0,,,
8.45145,1.41994,0.70997,,8.45145 0.70997 0,,,
8.46434,1.42385,0.711925,,8.46434 0.711925 0,,,
8.46655,1.42446,0.71223,,8.46655 0.71223 0,,,
8.50337,1.43551,0.717755,,8.50337 0.717755 0,,,
8.51142,1.43772,0.71886,,8.51142 0.71886 0,,,
8.52775,1.44172,0.72086,,8.52775 0.72086 0,,,
8.55217,1.44629,0.723145,,8.55217 0.723145 0,,,
8.6217,1.46164,0.73082,,8.6217 0.73082 0,,,
8.67134,1.47364,0.73682,,8.67134 0.73682 0,,,
8.6897,1.47931,0.739655,,8.6897 0.739655 0,,,
8.69304,1.48026,0.74013,,8.69304 0.74013 0,,,
8.73342,1.49183,0.745915,,8.73342 0.745915 0,,,
8.73703,1.49293,0.746465,,8.73703 0.746465 0,,,
8.73904,1.49351,0.746755,,8.73904 0.746755 0,,,
8.74424,1.49498,0.74749,,8.74424 0.74749 0,,,
8.77346,1.50294,0.75147,,8.77346 0.75147 0,,,
8.79688,1.50903,0.754515,,8.79688 0.754515 0,,,
8.80913,1.51213,0.756065,,8.80913 0.756065 0,,,
8.84174,1.51887,0.759435,,8.84174 0.759435 0,,,
8.86018,1.52276,0.76138,,8.86018 0.76138 0,,,
8.8726,1.5252,0.7626,,8.8726 0.7626 0,,,
8.89126,1.52944,0.76472,,8.89126 0.76472 0,,,
8.90492,1.53283,0.766415,,8.90492 0.766415 0,,,
8.92708,1.5391,0.76955,,8.92708 0.76955 0,,,
8.94856,1.54483,0.772415,,8.94856 0.772415 0,,,
8.95119,1.54547,0.772735,,8.95119 0.772735 0,,,
8.98098,1.55284,0.77642,,8.98098 0.77642 0,,,
8.98105,1.55286,0.77643,,8.98105 0.77643 0,,,
8.99993,1.55795,0.778975,,8.99993 0.778975 0,,,
8.99994,1.55795,0.778975,,8.99994 0.778975 0,,,
9.00104,1.55821,0.779105,,9.00104 0.779105 0,,,
9.02058,1.56242,0.78121,,9.02058 0.78121 0,,,
9.03161,1.56397,0.781985,,9.03161 0.781985 0,,,
9.04284,1.56562,0.78281,,9.04284 0.78281 0,,,
9.07366,1.57086,0.78543,,9.07366 0.78543 0,,,
9.08607,1.57314,0.78657,,9.08607 0.78657 0,,,
9.103,1.57547,0.787735,,9.103 0.787735 0,,,
9.14913,1.58439,0.792195,,9.14913 0.792195 0,,,
9.14975,1.58451,0.792255,,9.14975 0.792255 0,,,
9.17631,1.59022,0.79511,,9.17631 0.79511 0,,,
9.18178,1.59123,0.795615,,9.18178 0.795615 0,,,
9.21459,1.59691,0.798455,,9.21459 0.798455 0,,,
9.23208,1.60004,0.80002,,9.23208 0.80002 0,,,
9.25179,1.60326,0.80163,,9.25179 0.80163 0,,,
9.26539,1.60548,0.80274,,9.26539 0.80274 0,,,
9.27235,1.60666,0.80333,,9.27235 0.80333 0,,,
9.34491,1.61856,0.80928,,9.34491 0.80928 0,,,
9.34946,1.61945,0.809725,,9.34946 0.809725 0,,,
9.3495,1.61946,0.80973,,9.3495 0.80973 0,,,
9.35019,1.61959,0.809795,,9.35019 0.809795 0,,,
